human_readable_date,machine_readable_date
jan 10 1988,1988-01-10
nov 26 1973,1973-11-26
16 december 1985,1985-12-16
sun 10 oct 1971,1971-10-10
12 jan 1989,1989-01-12
wednesday april 5 1972,1972-04-05
october 26 1990,1990-10-26
sunday 24 july 1977,1977-07-24
saturday august 5 1978,1978-08-05
thursday 28 august 1975,1975-08-28
august 5 2009,2009-08-05
june 25 1980,1980-06-25
june 13 2002,2002-06-13
24 june 2004,2004-06-24
feb 20 1985,1985-02-20
october 8 2006,2006-10-08
january 17 1999,1999-01-17
saturday july 20 2002,2002-07-20
october 31 1977,1977-10-31
january 30 2002,2002-01-30
21 april 2006,2006-04-21
10/01/2013,2013-01-10
friday october 25 1974,1974-10-25
saturday july 26 2008,2008-07-26
27 february 1974,1974-02-27
thursday 29 november 1984,1984-11-29
may 30 1984,1984-05-30
oct 25 1984,1984-10-25
wednesday march 21 2018,2018-03-21
31 mar 1984,1984-03-31
7/3/72,1972-07-03
may 1 2011,2011-05-01
may 21 2007,2007-05-21
september 28 1995,1995-09-28
saturday february 5 1977,1977-02-05
19/12/2002,2002-12-19
monday 19 october 1987,1987-10-19
july 13 2007,2007-07-13
9 january 1983,1983-01-09
20 october 1995,1995-10-20
august 6 2002,2002-08-06
tuesday july 6 1999,1999-07-06
jan 22 1977,1977-01-22
apr 30 1994,1994-04-30
13 july 1996,1996-07-13
oct 4 1982,1982-10-04
27 may 2013,2013-05-27
20 july 2019,2019-07-20
19 june 2015,2015-06-19
apr 30 1970,1970-04-30
6 august 2005,2005-08-06
november 1 2015,2015-11-01
4 june 2012,2012-06-04
mon 13 jul 1998,1998-07-13
wednesday september 18 1991,1991-09-18
monday 11 october 1993,1993-10-11
feb 5 2015,2015-02-05
13 february 1989,1989-02-13
9 december 2011,2011-12-09
dec 22 1986,1986-12-22
july 12 1995,1995-07-12
july 9 1998,1998-07-09
9 jul 1985,1985-07-09
26/09/2017,2017-09-26
wed 22 feb 2017,2017-02-22
may 9 1973,1973-05-09
3 december 2019,2019-12-03
4 apr 2015,2015-04-04
aug 13 2011,2011-08-13
friday march 28 2008,2008-03-28
november 1 1993,1993-11-01
jul 25 1981,1981-07-25
saturday december 1 1973,1973-12-01
1 september 1991,1991-09-01
thursday 8 july 1976,1976-07-08
may 16 2004,2004-05-16
feb 13 2019,2019-02-13
17 august 2011,2011-08-17
23 july 1971,1971-07-23
saturday june 27 1992,1992-06-27
march 24 2010,2010-03-24
26 may 1978,1978-05-26
27 march 2011,2011-03-27
dec 25 2000,2000-12-25
may 18 1971,1971-05-18
22 apr 2020,2020-04-22
8 july 1991,1991-07-08
10/13/03,2003-10-13
24 february 1988,1988-02-24
mar 6 2001,2001-03-06
9/11/94,1994-09-11
11/16/08,2008-11-16
27 july 2007,2007-07-27
24 october 2018,2018-10-24
aug 28 1991,1991-08-28
monday may 31 1999,1999-05-31
july 13 1989,1989-07-13
may 19 2004,2004-05-19
26 mar 1988,1988-03-26
3/31/01,2001-03-31
sunday june 20 2010,2010-06-20
oct 19 1984,1984-10-19
thu 8 sep 2011,2011-09-08
27/02/2019,2019-02-27
27 may 1989,1989-05-27
13 february 1978,1978-02-13
9 november 1977,1977-11-09
23 august 2020,2020-08-23
april 3 1982,1982-04-03
june 5 2016,2016-06-05
monday 23 september 2002,2002-09-23
saturday november 20 1999,1999-11-20
29 may 2004,2004-05-29
october 20 2001,2001-10-20
march 11 1987,1987-03-11
5/28/79,1979-05-28
13 september 2010,2010-09-13
friday july 23 1971,1971-07-23
thursday august 18 2005,2005-08-18
2 september 1991,1991-09-02
thursday 6 march 2014,2014-03-06
thu 12 mar 1970,1970-03-12
december 3 2013,2013-12-03
wed 21 dec 1977,1977-12-21
17 july 1974,1974-07-17
19 march 1990,1990-03-19
6/23/95,1995-06-23
august 26 1998,1998-08-26
feb 21 1993,1993-02-21
wednesday december 12 1990,1990-12-12
8/22/83,1983-08-22
20/07/1977,1977-07-20
wednesday january 1 2003,2003-01-01
wed 8 apr 2009,2009-04-08
20 may 1980,1980-05-20
2/21/86,1986-02-21
oct 23 2013,2013-10-23
tue 20 apr 1982,1982-04-20
30 march 2020,2020-03-30
november 19 2018,2018-11-19
wednesday march 18 1998,1998-03-18
march 2 2001,2001-03-02
21 feb 1998,1998-02-21
13 february 1990,1990-02-13
4/7/75,1975-04-07
april 24 1990,1990-04-24
october 18 2013,2013-10-18
nov 2 1982,1982-11-02
6 july 2017,2017-07-06
december 12 2008,2008-12-12
may 13 1971,1971-05-13
11/17/85,1985-11-17
20 february 1981,1981-02-20
7 july 2003,2003-07-07
june 17 1975,1975-06-17
saturday september 24 2005,2005-09-24
mar 31 1990,1990-03-31
11 oct 2003,2003-10-11
9/7/75,1975-09-07
11 september 1975,1975-09-11
may 31 1991,1991-05-31
wednesday january 7 1970,1970-01-07
december 30 2011,2011-12-30
march 25 1976,1976-03-25
march 19 1980,1980-03-19
tuesday august 21 1979,1979-08-21
6 july 2010,2010-07-06
9 july 1984,1984-07-09
jan 7 2009,2009-01-07
mar 16 2000,2000-03-16
dec 7 2017,2017-12-07
4/25/96,1996-04-25
june 30 2002,2002-06-30
friday june 6 1986,1986-06-06
20 december 2003,2003-12-20
wednesday 7 may 2003,2003-05-07
23 july 2000,2000-07-23
friday june 24 2016,2016-06-24
sep 26 1982,1982-09-26
13 january 1978,1978-01-13
16 september 2015,2015-09-16
march 6 2020,2020-03-06
13 may 1970,1970-05-13
sun 15 apr 2001,2001-04-15
sunday july 26 1998,1998-07-26
26 august 2005,2005-08-26
dec 26 2015,2015-12-26
october 6 1986,1986-10-06
october 17 2001,2001-10-17
11/4/04,2004-11-04
wed 8 jan 2003,2003-01-08
wednesday march 5 2003,2003-03-05
november 5 1977,1977-11-05
2 august 2012,2012-08-02
11/22/07,2007-11-22
april 10 1982,1982-04-10
may 11 2021,2021-05-11
thursday may 22 1980,1980-05-22
november 2 1979,1979-11-02
5 june 2003,2003-06-05
sunday april 22 1984,1984-04-22
9/9/18,2018-09-09
8 december 2010,2010-12-08
january 6 2000,2000-01-06
march 23 2020,2020-03-23
tuesday april 17 1973,1973-04-17
apr 4 1988,1988-04-04
sunday july 6 2003,2003-07-06
10 june 1985,1985-06-10
jun 11 1985,1985-06-11
monday december 15 2014,2014-12-15
june 4 1977,1977-06-04
mar 7 1994,1994-03-07
thursday december 24 2015,2015-12-24
september 24 1977,1977-09-24
december 28 2008,2008-12-28
oct 31 2009,2009-10-31
monday june 23 2003,2003-06-23
dec 22 1991,1991-12-22
25 september 1976,1976-09-25
oct 13 1971,1971-10-13
dec 29 2013,2013-12-29
december 4 1980,1980-12-04
august 6 1978,1978-08-06
22 march 2021,2021-03-22
september 17 1970,1970-09-17
thursday 26 august 1999,1999-08-26
8/12/17,2017-08-12
monday 8 october 1979,1979-10-08
12/25/07,2007-12-25
4 march 1980,1980-03-04
fri 5 jun 2009,2009-06-05
friday march 29 1991,1991-03-29
nov 11 1971,1971-11-11
3 march 1971,1971-03-03
june 6 2010,2010-06-06
10 september 1982,1982-09-10
may 8 1974,1974-05-08
july 15 1990,1990-07-15
sunday 20 april 1980,1980-04-20
november 17 1988,1988-11-17
february 20 1971,1971-02-20
sat 4 jun 1977,1977-06-04
4 october 2014,2014-10-04
nov 6 2015,2015-11-06
sun 5 apr 2009,2009-04-05
03/02/1975,1975-02-03
30 september 1988,1988-09-30
tuesday march 25 1986,1986-03-25
1 april 1981,1981-04-01
friday may 14 1999,1999-05-14
feb 2 2018,2018-02-02
saturday february 20 1971,1971-02-20
december 7 2014,2014-12-07
friday may 17 1996,1996-05-17
february 27 2000,2000-02-27
sep 5 1985,1985-09-05
january 11 1980,1980-01-11
4/13/75,1975-04-13
may 1 2006,2006-05-01
mar 25 1982,1982-03-25
aug 28 2020,2020-08-28
4 july 2007,2007-07-04
monday august 23 1999,1999-08-23
18 july 1979,1979-07-18
6 june 1984,1984-06-06
12 august 2006,2006-08-12
27 december 1988,1988-12-27
october 15 1993,1993-10-15
27/11/2017,2017-11-27
feb 28 2012,2012-02-28
sunday 21 august 2005,2005-08-21
october 6 1977,1977-10-06
wednesday june 20 1973,1973-06-20
oct 9 2018,2018-10-09
6/21/75,1975-06-21
july 6 1994,1994-07-06
november 17 2004,2004-11-17
saturday july 14 1979,1979-07-14
jun 16 1994,1994-06-16
wednesday 29 july 2009,2009-07-29
june 5 1990,1990-06-05
june 14 1989,1989-06-14
april 1 1981,1981-04-01
29/10/1987,1987-10-29
august 9 2013,2013-08-09
jul 15 1985,1985-07-15
01/05/1984,1984-05-01
25 july 2018,2018-07-25
february 23 1980,1980-02-23
08/11/2012,2012-11-08
may 3 2012,2012-05-03
tuesday 14 january 2003,2003-01-14
thursday 10 april 1980,1980-04-10
november 7 1998,1998-11-07
saturday october 15 2016,2016-10-15
sunday april 9 2017,2017-04-09
january 10 2006,2006-01-10
14/01/1992,1992-01-14
october 1 1972,1972-10-01
21 september 2018,2018-09-21
thursday 26 december 1974,1974-12-26
january 20 2007,2007-01-20
friday october 8 2010,2010-10-08
15 november 1996,1996-11-15
2/22/94,1994-02-22
dec 4 1988,1988-12-04
11/01/2013,2013-01-11
jul 25 1992,1992-07-25
friday june 6 2014,2014-06-06
friday may 22 1981,1981-05-22
april 13 1983,1983-04-13
14 july 1979,1979-07-14
april 12 2004,2004-04-12
november 1 1973,1973-11-01
june 28 1979,1979-06-28
jun 18 1988,1988-06-18
24 july 1989,1989-07-24
september 26 1986,1986-09-26
april 23 1982,1982-04-23
25 dec 2001,2001-12-25
aug 2 2019,2019-08-02
february 19 2010,2010-02-19
july 3 1989,1989-07-03
11 feb 1990,1990-02-11
october 18 1997,1997-10-18
dec 6 2012,2012-12-06
27 jan 1983,1983-01-27
wednesday may 28 1975,1975-05-28
4 feb 1994,1994-02-04
december 24 1996,1996-12-24
saturday january 31 1970,1970-01-31
monday january 16 2017,2017-01-16
august 3 1973,1973-08-03
1 december 1978,1978-12-01
20 october 1979,1979-10-20
april 1 1989,1989-04-01
february 12 2010,2010-02-12
9 july 2014,2014-07-09
december 17 1981,1981-12-17
4 jun 2004,2004-06-04
july 12 2020,2020-07-12
26 sep 2001,2001-09-26
october 12 1983,1983-10-12
march 22 1992,1992-03-22
saturday 26 february 1977,1977-02-26
july 18 2019,2019-07-18
feb 24 1977,1977-02-24
september 6 1977,1977-09-06
aug 10 1995,1995-08-10
24 january 2000,2000-01-24
4/26/01,2001-04-26
sat 9 nov 1974,1974-11-09
saturday 11 november 2017,2017-11-11
december 1 1998,1998-12-01
october 26 1983,1983-10-26
aug 5 2001,2001-08-05
saturday august 7 2010,2010-08-07
4/11/92,1992-04-11
april 8 2014,2014-04-08
may 24 1978,1978-05-24
jan 10 2007,2007-01-10
5 july 1998,1998-07-05
tuesday 9 october 1973,1973-10-09
sunday june 5 1983,1983-06-05
july 12 2019,2019-07-12
aug 24 1999,1999-08-24
7/28/78,1978-07-28
saturday 11 january 1997,1997-01-11
23 september 2009,2009-09-23
7 june 2011,2011-06-07
tue 13 sep 1988,1988-09-13
wednesday march 2 2005,2005-03-02
january 4 1997,1997-01-04
feb 23 1973,1973-02-23
november 8 1989,1989-11-08
18 december 1987,1987-12-18
monday june 29 2015,2015-06-29
6 january 1975,1975-01-06
tue 19 apr 1994,1994-04-19
october 13 2018,2018-10-13
mon 15 feb 2021,2021-02-15
17 july 2003,2003-07-17
15 november 2012,2012-11-15
10/06/1987,1987-06-10
25 mar 1978,1978-03-25
january 23 2007,2007-01-23
friday september 5 1997,1997-09-05
july 5 1989,1989-07-05
6 april 1981,1981-04-06
19 june 1998,1998-06-19
24 jan 2002,2002-01-24
saturday november 4 1972,1972-11-04
saturday october 3 1981,1981-10-03
friday october 14 2016,2016-10-14
22 march 1996,1996-03-22
14 january 2003,2003-01-14
monday november 2 1970,1970-11-02
28/07/2005,2005-07-28
january 12 1975,1975-01-12
8 february 1971,1971-02-08
2/16/71,1971-02-16
june 10 2007,2007-06-10
september 16 1998,1998-09-16
may 6 1976,1976-05-06
5/14/91,1991-05-14
aug 31 1979,1979-08-31
jan 11 1985,1985-01-11
07/05/1996,1996-05-07
1 september 1970,1970-09-01
mar 18 1995,1995-03-18
14 may 1977,1977-05-14
wed 7 sep 2011,2011-09-07
26 december 2008,2008-12-26
tuesday october 16 2001,2001-10-16
mon 21 aug 2000,2000-08-21
march 9 1999,1999-03-09
may 16 2003,2003-05-16
thursday march 17 1988,1988-03-17
sun 30 jun 1985,1985-06-30
15 june 2013,2013-06-15
5 july 1989,1989-07-05
16 february 1999,1999-02-16
thursday october 23 1986,1986-10-23
7 august 1988,1988-08-07
august 12 1970,1970-08-12
24 january 2006,2006-01-24
thursday 6 july 1995,1995-07-06
5 april 2021,2021-04-05
22 april 1992,1992-04-22
monday january 25 1999,1999-01-25
may 27 2013,2013-05-27
january 11 2017,2017-01-11
27 may 2011,2011-05-27
11/15/81,1981-11-15
august 12 2018,2018-08-12
february 4 2012,2012-02-04
jul 16 2001,2001-07-16
5 jun 1974,1974-06-05
august 14 2019,2019-08-14
feb 11 2003,2003-02-11
thu 31 dec 1970,1970-12-31
april 6 1986,1986-04-06
18/11/1977,1977-11-18
tue 23 jun 1992,1992-06-23
mar 4 1970,1970-03-04
8 august 2008,2008-08-08
wednesday september 26 1990,1990-09-26
may 27 2012,2012-05-27
7/21/06,2006-07-21
friday 24 april 1970,1970-04-24
8/28/17,2017-08-28
7/27/75,1975-07-27
30/10/2011,2011-10-30
friday october 8 2004,2004-10-08
november 2 1980,1980-11-02
17 june 1991,1991-06-17
08/07/1981,1981-07-08
thursday 18 january 1996,1996-01-18
february 18 2008,2008-02-18
7 february 1972,1972-02-07
1 march 1983,1983-03-01
26 july 1982,1982-07-26
wednesday june 30 1976,1976-06-30
friday june 9 2017,2017-06-09
february 1 2006,2006-02-01
aug 17 1982,1982-08-17
friday 16 april 1982,1982-04-16
march 17 1970,1970-03-17
24/11/1999,1999-11-24
wednesday july 17 2019,2019-07-17
18 september 2019,2019-09-18
18 march 2017,2017-03-18
31/10/1979,1979-10-31
saturday october 2 1999,1999-10-02
12/31/79,1979-12-31
january 29 2016,2016-01-29
december 12 1991,1991-12-12
may 18 1972,1972-05-18
mar 8 1997,1997-03-08
23 july 1970,1970-07-23
11/29/97,1997-11-29
april 5 1986,1986-04-05
july 7 1993,1993-07-07
jul 5 1987,1987-07-05
monday 4 june 1979,1979-06-04
11/25/81,1981-11-25
april 30 1993,1993-04-30
24 october 2001,2001-10-24
april 17 2004,2004-04-17
oct 29 1974,1974-10-29
27 november 2018,2018-11-27
monday 13 november 1972,1972-11-13
dec 5 1976,1976-12-05
saturday june 27 1970,1970-06-27
apr 14 1979,1979-04-14
15 february 1992,1992-02-15
jul 9 1998,1998-07-09
friday july 4 2014,2014-07-04
october 4 2003,2003-10-04
jul 13 1992,1992-07-13
6 june 1977,1977-06-06
15 november 2001,2001-11-15
march 30 2021,2021-03-30
saturday 3 october 2015,2015-10-03
28 january 2002,2002-01-28
thu 5 jan 1989,1989-01-05
jun 4 2015,2015-06-04
fri 26 aug 2005,2005-08-26
march 6 2015,2015-03-06
3 august 2011,2011-08-03
9 july 1991,1991-07-09
mar 17 2018,2018-03-17
8 january 2004,2004-01-08
jan 25 1975,1975-01-25
november 28 1984,1984-11-28
11 february 1989,1989-02-11
4 jan 2019,2019-01-04
september 29 2011,2011-09-29
10/9/90,1990-10-09
2/3/81,1981-02-03
28 august 2001,2001-08-28
30/04/1970,1970-04-30
friday december 16 1988,1988-12-16
thu 8 jan 1976,1976-01-08
monday november 30 1992,1992-11-30
7 feb 1987,1987-02-07
mar 29 2018,2018-03-29
september 23 2004,2004-09-23
mar 8 1990,1990-03-08
2/25/70,1970-02-25
mon 20 jul 2020,2020-07-20
monday october 20 2003,2003-10-20
thu 27 jan 1983,1983-01-27
28 december 1980,1980-12-28
15 january 1991,1991-01-15
july 10 1977,1977-07-10
thursday 26 september 1991,1991-09-26
16 october 2006,2006-10-16
5 november 1973,1973-11-05
august 7 1993,1993-08-07
28 july 1975,1975-07-28
thursday january 4 1990,1990-01-04
october 17 2015,2015-10-17
jun 25 2016,2016-06-25
november 8 1982,1982-11-08
sunday january 28 1973,1973-01-28
monday november 4 1991,1991-11-04
2/20/73,1973-02-20
march 12 2001,2001-03-12
12/20/73,1973-12-20
august 28 1973,1973-08-28
1/10/88,1988-01-10
4 february 1987,1987-02-04
january 2 2000,2000-01-02
saturday 13 october 1979,1979-10-13
september 8 2013,2013-09-08
11 november 1971,1971-11-11
saturday july 5 2014,2014-07-05
2/14/18,2018-02-14
15 august 1971,1971-08-15
january 11 2004,2004-01-11
13 may 2011,2011-05-13
17/09/1991,1991-09-17
5/13/78,1978-05-13
20 september 1999,1999-09-20
jan 26 2016,2016-01-26
12 march 1985,1985-03-12
jul 8 1999,1999-07-08
may 19 1988,1988-05-19
thursday may 31 1984,1984-05-31
7/15/12,2012-07-15
november 26 1979,1979-11-26
october 31 1982,1982-10-31
27 april 2011,2011-04-27
march 4 2015,2015-03-04
22 jun 2000,2000-06-22
november 29 1973,1973-11-29
24 feb 2012,2012-02-24
25 august 2009,2009-08-25
4/3/08,2008-04-03
saturday july 31 1993,1993-07-31
saturday july 8 1989,1989-07-08
mar 16 2020,2020-03-16
sep 15 1972,1972-09-15
april 25 1991,1991-04-25
5 july 2017,2017-07-05
21 june 1980,1980-06-21
13/10/1993,1993-10-13
2 june 1979,1979-06-02
27 april 1977,1977-04-27
03/10/1984,1984-10-03
aug 19 1971,1971-08-19
february 13 1994,1994-02-13
friday 25 may 1973,1973-05-25
04/11/2019,2019-11-04
april 10 1978,1978-04-10
16/09/1977,1977-09-16
14/12/1997,1997-12-14
july 1 1990,1990-07-01
jun 14 2005,2005-06-14
1 january 2002,2002-01-01
17 november 2001,2001-11-17
september 2 2015,2015-09-02
october 9 2003,2003-10-09
sunday 27 january 1985,1985-01-27
5/20/09,2009-05-20
may 3 1973,1973-05-03
16 october 2014,2014-10-16
5/27/13,2013-05-27
wednesday september 25 1985,1985-09-25
july 2 1990,1990-07-02
sunday september 23 1973,1973-09-23
7 april 1971,1971-04-07
06/06/1988,1988-06-06
17 december 1981,1981-12-17
friday 16 december 1994,1994-12-16
10 march 2018,2018-03-10
saturday april 28 1973,1973-04-28
wednesday may 14 2014,2014-05-14
25 april 1988,1988-04-25
fri 8 oct 1982,1982-10-08
april 2 2016,2016-04-02
december 22 1982,1982-12-22
1 october 2009,2009-10-01
1/6/88,1988-01-06
23/10/1974,1974-10-23
november 20 2009,2009-11-20
22 oct 2002,2002-10-22
3 october 1981,1981-10-03
11/13/09,2009-11-13
november 9 1985,1985-11-09
may 8 2014,2014-05-08
4 december 2013,2013-12-04
july 1 1988,1988-07-01
7/24/93,1993-07-24
dec 13 1991,1991-12-13
thursday 28 march 1985,1985-03-28
sunday november 16 2008,2008-11-16
april 4 1987,1987-04-04
18 november 1999,1999-11-18
thursday september 26 2013,2013-09-26
august 23 1988,1988-08-23
august 10 1990,1990-08-10
aug 2 2018,2018-08-02
1/25/17,2017-01-25
mar 5 2015,2015-03-05
26 july 1976,1976-07-26
october 29 2009,2009-10-29
august 16 1972,1972-08-16
december 23 1990,1990-12-23
1/15/91,1991-01-15
19 jun 1985,1985-06-19
mar 2 2006,2006-03-02
14 july 1982,1982-07-14
13 september 1983,1983-09-13
thursday february 17 1983,1983-02-17
july 12 1977,1977-07-12
friday 6 november 1998,1998-11-06
12 may 1986,1986-05-12
october 6 2018,2018-10-06
aug 27 1984,1984-08-27
january 15 2016,2016-01-15
saturday may 11 1996,1996-05-11
january 24 2016,2016-01-24
jan 21 1978,1978-01-21
monday 29 june 1981,1981-06-29
december 13 1978,1978-12-13
jul 3 1996,1996-07-03
30/11/1980,1980-11-30
mar 3 1975,1975-03-03
31 december 1995,1995-12-31
sunday 14 january 1990,1990-01-14
sunday may 22 1983,1983-05-22
may 28 1989,1989-05-28
december 7 1994,1994-12-07
jun 23 2017,2017-06-23
jan 17 1981,1981-01-17
12/23/01,2001-12-23
sunday 1 july 2001,2001-07-01
sunday 25 january 1987,1987-01-25
15 september 1988,1988-09-15
19 dec 2002,2002-12-19
sunday 11 march 1979,1979-03-11
fri 15 sep 1995,1995-09-15
thursday august 9 1984,1984-08-09
nov 18 1995,1995-11-18
aug 5 1980,1980-08-05
friday october 17 1986,1986-10-17
april 26 2014,2014-04-26
4 september 1981,1981-09-04
tuesday october 30 1973,1973-10-30
20 february 1978,1978-02-20
december 30 1984,1984-12-30
23 november 1976,1976-11-23
sunday june 28 1998,1998-06-28
wednesday 26 august 1970,1970-08-26
nov 5 2015,2015-11-05
14 april 2014,2014-04-14
sunday march 6 1988,1988-03-06
15 may 1984,1984-05-15
17 jan 1978,1978-01-17
march 11 1989,1989-03-11
aug 24 1970,1970-08-24
december 9 1985,1985-12-09
26 august 1976,1976-08-26
5 oct 2017,2017-10-05
23 february 1977,1977-02-23
mon 8 dec 2003,2003-12-08
21 september 2013,2013-09-21
monday august 9 1993,1993-08-09
24 september 1981,1981-09-24
mar 24 1977,1977-03-24
22 november 1971,1971-11-22
sunday november 18 2012,2012-11-18
12 march 2000,2000-03-12
8 may 2006,2006-05-08
tue 30 aug 2011,2011-08-30
26 jan 1995,1995-01-26
june 7 1984,1984-06-07
thursday october 28 1976,1976-10-28
friday december 15 2017,2017-12-15
03/12/1982,1982-12-03
3 february 2007,2007-02-03
friday november 15 1991,1991-11-15
mar 29 1999,1999-03-29
10 september 2010,2010-09-10
4/1/84,1984-04-01
11 jul 2012,2012-07-11
18 april 2007,2007-04-18
13 august 1998,1998-08-13
29/11/2009,2009-11-29
august 8 1996,1996-08-08
wednesday june 18 1980,1980-06-18
24 august 1989,1989-08-24
october 7 1986,1986-10-07
thursday march 14 2002,2002-03-14
november 24 2017,2017-11-24
friday march 21 2008,2008-03-21
friday may 16 1997,1997-05-16
november 4 1994,1994-11-04
wednesday july 22 1992,1992-07-22
tuesday 26 december 2000,2000-12-26
may 5 1989,1989-05-05
fri 21 jun 2002,2002-06-21
february 13 2002,2002-02-13
nov 10 1992,1992-11-10
23/09/2020,2020-09-23
monday november 3 2008,2008-11-03
nov 13 1979,1979-11-13
oct 11 2004,2004-10-11
wed 10 sep 2014,2014-09-10
13 july 1971,1971-07-13
nov 27 2014,2014-11-27
thu 28 mar 2019,2019-03-28
16 may 1987,1987-05-16
mon 4 feb 1980,1980-02-04
11 october 1988,1988-10-11
8 november 2015,2015-11-08
dec 26 1970,1970-12-26
july 5 1974,1974-07-05
29 sep 2014,2014-09-29
feb 26 1973,1973-02-26
26/06/2009,2009-06-26
february 15 2008,2008-02-15
11 june 1973,1973-06-11
23 jun 1996,1996-06-23
5/3/11,2011-05-03
sunday october 7 2001,2001-10-07
sep 11 1991,1991-09-11
december 3 2010,2010-12-03
october 8 1987,1987-10-08
march 20 2020,2020-03-20
march 28 1981,1981-03-28
april 2 1993,1993-04-02
june 15 2010,2010-06-15
sunday may 10 1998,1998-05-10
20/06/2007,2007-06-20
fri 4 oct 2019,2019-10-04
10 february 1998,1998-02-10
jun 9 1991,1991-06-09
8/23/87,1987-08-23
29 june 1998,1998-06-29
jun 5 2013,2013-06-05
21 february 2007,2007-02-21
5/4/01,2001-05-04
17/10/1990,1990-10-17
08/04/1980,1980-04-08
fri 11 jan 1980,1980-01-11
5 april 2000,2000-04-05
september 24 1970,1970-09-24
sunday february 4 1979,1979-02-04
march 23 1987,1987-03-23
21 june 1978,1978-06-21
24/08/1995,1995-08-24
29 jan 1980,1980-01-29
2 december 1973,1973-12-02
december 25 1987,1987-12-25
4 feb 2010,2010-02-04
jun 18 2010,2010-06-18
14 october 1977,1977-10-14
may 17 2004,2004-05-17
wednesday january 19 1994,1994-01-19
friday september 13 2019,2019-09-13
10 may 1970,1970-05-10
4 august 2013,2013-08-04
thu 6 apr 2017,2017-04-06
sep 7 1971,1971-09-07
december 16 1971,1971-12-16
wed 22 jul 2009,2009-07-22
november 21 1991,1991-11-21
10 june 1982,1982-06-10
december 31 2018,2018-12-31
saturday november 12 2005,2005-11-12
april 7 2009,2009-04-07
19 oct 2013,2013-10-19
friday march 27 1981,1981-03-27
sunday may 29 2005,2005-05-29
november 26 2001,2001-11-26
tuesday 15 july 2003,2003-07-15
10/13/92,1992-10-13
6 november 1991,1991-11-06
7 november 1981,1981-11-07
15/05/2013,2013-05-15
friday july 22 1988,1988-07-22
december 16 2017,2017-12-16
march 28 2021,2021-03-28
friday december 26 2008,2008-12-26
aug 24 1992,1992-08-24
saturday october 4 2003,2003-10-04
tuesday august 8 2000,2000-08-08
wednesday september 17 2008,2008-09-17
7 february 1991,1991-02-07
10 april 1970,1970-04-10
9 august 1981,1981-08-09
september 23 1978,1978-09-23
february 15 1989,1989-02-15
01/03/2001,2001-03-01
25 february 1971,1971-02-25
friday may 25 2018,2018-05-25
12 april 1983,1983-04-12
monday 2 june 1980,1980-06-02
jun 14 1973,1973-06-14
january 11 2014,2014-01-11
sun 12 dec 1971,1971-12-12
sunday 30 august 1987,1987-08-30
oct 24 2003,2003-10-24
december 14 1978,1978-12-14
jun 23 1974,1974-06-23
thursday january 30 2003,2003-01-30
aug 5 2014,2014-08-05
sunday october 24 1976,1976-10-24
august 14 1993,1993-08-14
may 30 1972,1972-05-30
25 dec 2005,2005-12-25
7/12/73,1973-07-12
27 jun 1995,1995-06-27
12 december 1988,1988-12-12
wed 30 oct 1974,1974-10-30
jan 22 2005,2005-01-22
apr 1 2002,2002-04-01
13 august 1983,1983-08-13
24 aug 2012,2012-08-24
12 january 2019,2019-01-12
april 21 2015,2015-04-21
27 february 2012,2012-02-27
january 4 1975,1975-01-04
december 4 1984,1984-12-04
8 dec 1999,1999-12-08
wednesday june 20 2001,2001-06-20
10/16/72,1972-10-16
4/5/08,2008-04-05
aug 10 2018,2018-08-10
feb 29 1976,1976-02-29
saturday april 4 1981,1981-04-04
14 august 2005,2005-08-14
aug 22 1995,1995-08-22
5 jul 1983,1983-07-05
16/04/1981,1981-04-16
6 jul 1971,1971-07-06
25 december 1970,1970-12-25
4 aug 2006,2006-08-04
1 feb 2010,2010-02-01
thursday june 23 1994,1994-06-23
june 23 2010,2010-06-23
23 april 1993,1993-04-23
wednesday 27 march 1996,1996-03-27
monday 22 april 2019,2019-04-22
20 september 1973,1973-09-20
monday 28 february 1983,1983-02-28
december 27 1977,1977-12-27
jul 17 1971,1971-07-17
mar 13 2017,2017-03-13
dec 20 2010,2010-12-20
sun 6 oct 1991,1991-10-06
19/11/2011,2011-11-19
29 october 1998,1998-10-29
18 apr 2007,2007-04-18
january 18 1982,1982-01-18
november 10 2017,2017-11-10
friday may 9 2014,2014-05-09
may 27 2002,2002-05-27
26 december 1998,1998-12-26
2 mar 1980,1980-03-02
november 19 2014,2014-11-19
15 january 1975,1975-01-15
monday october 13 1997,1997-10-13
december 24 1989,1989-12-24
apr 18 1987,1987-04-18
mar 6 1987,1987-03-06
10 january 1975,1975-01-10
9 feb 1988,1988-02-09
sunday 5 september 1993,1993-09-05
thursday july 30 1992,1992-07-30
monday october 18 1971,1971-10-18
aug 25 1980,1980-08-25
7 june 1970,1970-06-07
18/10/1979,1979-10-18
jan 10 1970,1970-01-10
march 1 1999,1999-03-01
5 july 1978,1978-07-05
6 may 2020,2020-05-06
sep 7 2013,2013-09-07
1/15/87,1987-01-15
january 24 2000,2000-01-24
16 august 1992,1992-08-16
16 october 1970,1970-10-16
2/2/02,2002-02-02
march 24 1986,1986-03-24
1/19/08,2008-01-19
apr 27 2010,2010-04-27
6 july 1971,1971-07-06
october 4 2007,2007-10-04
sunday november 17 1974,1974-11-17
saturday 16 february 2002,2002-02-16
august 26 1972,1972-08-26
6 jan 1978,1978-01-06
march 24 1992,1992-03-24
